index,time,lat,lon,east_cm,north_cm,quality
758,075323.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
759,075323.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
760,075323.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
761,075323.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
762,075323.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
763,075323.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
764,075323.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
765,075324.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
766,075324.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
767,075324.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
768,075324.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
769,075324.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
770,075324.55,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
771,075324.65,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
772,075324.75,37.30391633333333,127.90718366666667,-0.8049638347068965,1.1573048444404321,4
773,075324.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
774,075324.95,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
775,075325.05,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
776,075325.15,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
777,075325.25,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
778,075325.35,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
779,075325.45,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
780,075325.55,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
781,075325.65,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
782,075325.75,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
783,075325.85,37.30391616666667,127.90718366666667,-0.8049638347068965,-0.6980284842086348,4
